symbol,position,rationale,disclosureDate,transactionDate,firstName,lastName,office,owner,assetDescription,assetType,type,amount,link,chamber,RunDate,RunTime
NVDA,long,"Strong net inflow and solid performance in the semiconductor sector, coupled with positive momentum in AI technologies.",2025-04-20,2025-03-25,Ashley,Moody,Ashley Moody,Self,NVIDIA Corporation,Stock Option,Sale,8000.5,https://efdsearch.senate.gov/search/view/ptr/19100e4c-0acb-45fb-9eb3-34ec9460d5e9/,senate,2025-04-23,22:53:26
NVDA,long,"Strong net inflow and solid performance in the semiconductor sector, coupled with positive momentum in AI technologies.",2025-04-20,2025-03-20,Ashley,Moody,Ashley Moody,Self,NVIDIA Corporation,Stock,Purchase,175000.5,https://efdsearch.senate.gov/search/view/ptr/19100e4c-0acb-45fb-9eb3-34ec9460d5e9/,senate,2025-04-23,22:53:26
NVDA,long,"Strong net inflow and solid performance in the semiconductor sector, coupled with positive momentum in AI technologies.",2025-04-20,2025-03-21,Ashley,Moody,Ashley Moody,Self,NVIDIA Corporation,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/19100e4c-0acb-45fb-9eb3-34ec9460d5e9/,senate,2025-04-23,22:53:26
NVDA,long,"Strong net inflow and solid performance in the semiconductor sector, coupled with positive momentum in AI technologies.",2025-03-05,2025-02-26,John,Boozman,John Boozman,Joint,Nvidia Corp,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:53:26
NVDA,long,"Strong net inflow and solid performance in the semiconductor sector, coupled with positive momentum in AI technologies.",2025-04-18,2025-04-03,Dwight,Evans,Dwight Evans,,NVIDIA Corporation,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030179.pdf,house,2025-04-23,22:53:26
LLY,long,Significant net inflow indicating confidence in its recent drug developments and strong pipeline.,2025-03-23,2025-03-06,Ashley,Moody,Ashley Moody,Self,Eli Lilly and Co,Stock,Purchase,175000.5,https://efdsearch.senate.gov/search/view/ptr/376521e5-ad5e-44ec-8bd4-63847da2e049/,senate,2025-04-23,22:53:26
AMD,long,High net inflow reflects positive sentiment following recent product launches and growth in data center demand.,2025-03-23,2025-02-24,Ashley,Moody,Ashley Moody,Self,Advanced Micro Devices Inc,Stock,Purchase,175000.5,https://efdsearch.senate.gov/search/view/ptr/376521e5-ad5e-44ec-8bd4-63847da2e049/,senate,2025-04-23,22:53:26
KBH,long,"Attractive net inflow suggests bullish sentiment in the housing sector, benefiting from low inventory levels.",2025-03-30,2025-03-05,Dave,McCormick,Dave McCormick,Self,KB Home,Corporate Bond,Purchase,375000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:53:26
CACI,long,Positive net flow amidst increased government spending on defense and technology services.,2025-04-18,2025-03-06,Michael,McCaul,Michael McCaul,Spouse,CACI International Inc,Stock,Purchase,175000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:53:26
AMZN,long,Recent net inflow may indicate optimism about its e-commerce recovery and cloud growth.,2025-03-05,2025-02-26,John,Boozman,John Boozman,Joint,Amazon.com Inc,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:53:26
AMZN,long,Recent net inflow may indicate optimism about its e-commerce recovery and cloud growth.,2025-04-23,2025-04-03,Rob,Bresnahan,Rob Bresnahan,,Amazon.com Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,house,2025-04-23,22:53:26
AMZN,long,Recent net inflow may indicate optimism about its e-commerce recovery and cloud growth.,2025-04-18,2025-04-03,Dwight,Evans,Dwight Evans,,Amazon.com Inc,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030179.pdf,house,2025-04-23,22:53:26
AMZN,long,Recent net inflow may indicate optimism about its e-commerce recovery and cloud growth.,2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,Amazon.com Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,22:53:26
KHC,short,"Despite net inflow, concerns over rising commodity costs may pressure margins.",2025-04-18,2025-03-04,Michael,McCaul,Michael McCaul,Spouse,The Kraft Heinz Co,Stock,Purchase,75000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:53:26
INTU,short,Recent strong performance might not be sustainable due to competitive pressures in the financial software space.,2025-04-23,2025-04-01,Rob,Bresnahan,Rob Bresnahan,,Intuit Inc,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,house,2025-04-23,22:53:26
INTU,short,Recent strong performance might not be sustainable due to competitive pressures in the financial software space.,2025-04-18,2025-03-31,Michael,McCaul,Michael McCaul,Spouse,Intuit Inc,Stock,Purchase,75000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-03-05,2025-02-04,Shelley,Moore Capito,Shelley Moore Capito,Spouse,Microsoft Corp,Stock,Sale (Partial),8000.5,https://efdsearch.senate.gov/search/view/ptr/2f191d07-0340-4367-ba29-a81216bb20e3/,senate,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-03-05,2025-02-05,John,Boozman,John Boozman,Joint,Microsoft Corp,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-03-05,2025-02-14,John,Boozman,John Boozman,Joint,Microsoft Corp,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-04-23,2025-04-03,Rob,Bresnahan,Rob Bresnahan,,Microsoft Corp,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030212.pdf,house,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-04-18,2025-03-18,Michael,McCaul,Michael McCaul,Spouse,Microsoft Corp,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,Microsoft Corp,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,22:53:26
MSFT,short,High valuation concerns may lead to downward pressure despite strong fundamentals.,2025-04-17,2025-03-20,Bruce,Westerman,Bruce Westerman,,Microsoft Corp,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,22:53:26
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-10,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-02-27,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-05,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-02-28,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-11,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-03,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-13,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-30,2025-03-20,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-11,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-13,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-20,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-02-27,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-02-28,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-03,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-05,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-28,2025-03-10,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/5823084a-1dd6-4707-aee5-53c57af4df8c/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-19,2025-02-26,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/ac293f74-570f-4c11-9224-79686a7500a9/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-19,2025-02-25,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,ETF,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/ac293f74-570f-4c11-9224-79686a7500a9/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-18,2025-02-26,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/ac293f74-570f-4c11-9224-79686a7500a9/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-18,2025-02-25,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/ac293f74-570f-4c11-9224-79686a7500a9/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-05,2025-02-25,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/87e8ffc9-b032-4706-a4d1-8769a6eca634/,senate,2025-04-23,22:54:34
BITB,short,"High speculative interest in crypto assets may lead to price corrections, making it a candidate for short.",2025-03-05,2025-02-26,Dave,McCormick,Dave McCormick,Self,BITWISE BITCOIN ETF,,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/87e8ffc9-b032-4706-a4d1-8769a6eca634/,senate,2025-04-23,22:54:34
DXCM,short,Potential pricing pressures in the healthcare sector could hinder growth prospects.,2025-04-18,2025-03-13,Michael,McCaul,Michael McCaul,Spouse,DexCom Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:54:34
EL,short,Market saturation in beauty products combined with supply chain challenges may affect future performance.,2025-04-18,2025-03-04,Michael,McCaul,Michael McCaul,Spouse,The Estee Lauder Cos Inc,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:54:34
EL,short,Market saturation in beauty products combined with supply chain challenges may affect future performance.,2025-04-18,2025-03-05,Michael,McCaul,Michael McCaul,Spouse,The Estee Lauder Cos Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:54:34
LEN,long,Rebounding construction sector combined with large net positive flow points to potential growth.,2025-04-18,2025-03-25,Michael,McCaul,Michael McCaul,Spouse,Lennar Corp,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:55:40
LEN,long,Rebounding construction sector combined with large net positive flow points to potential growth.,2025-04-18,2025-03-13,Michael,McCaul,Michael McCaul,Spouse,Lennar Corp,Stock,Purchase,75000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:55:40
COF,short,"Weakening credit environment and potential rising default rates could hurt performance, warranting a short position.",2025-04-12,2025-03-19,Markwayne,Mullin,Markwayne Mullin,Joint,Capital One Financial Corp,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/7202646a-173e-4d52-ae17-80536038a476/,senate,2025-04-23,22:55:40
VMC,short,Possible slowdown in construction and infrastructure spending may negatively impact performance.,2025-04-18,2025-03-21,Michael,McCaul,Michael McCaul,Spouse,Vulcan Materials Co,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:55:40
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-04-20,2025-03-19,John,Boozman,John Boozman,Joint,INVESCO SHORT TERM TREAS ETF,ETF,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/fcacc112-3bf8-4a43-82f6-38d14a699357/,senate,2025-04-23,22:56:47
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-04-20,2025-03-05,John,Boozman,John Boozman,Joint,INVESCO SHORT TERM TREAS ETF,ETF,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/fcacc112-3bf8-4a43-82f6-38d14a699357/,senate,2025-04-23,22:56:47
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-04-19,2025-03-19,John,Boozman,John Boozman,Joint,Invesco Short Term Treasury ETF,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/fcacc112-3bf8-4a43-82f6-38d14a699357/,senate,2025-04-23,22:56:47
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-04-19,2025-03-05,John,Boozman,John Boozman,Joint,Invesco Short Term Treasury ETF,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/fcacc112-3bf8-4a43-82f6-38d14a699357/,senate,2025-04-23,22:56:47
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-03-06,2025-02-26,John,Boozman,John Boozman,Joint,INVESCO SHORT TERM TREAS ETF,,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:56:47
TBLL,short,Recent underperformance in share price and lack of clear growth catalysts.,2025-03-05,2025-02-26,John,Boozman,John Boozman,Joint,Invesco Short Term Treasury ETF,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,22:56:47
SUI,short,"Overvaluation concerns in the real estate sector, especially in manufactured housing.",2025-04-18,2025-03-17,Michael,McCaul,Michael McCaul,Spouse,Sun Communities Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:56:47
OMF,short,Weak fundamentals and uncertain market conditions in finance suggest potential downside.,2025-04-18,2025-03-12,Michael,McCaul,Michael McCaul,Spouse,OneMain Holdings Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:57:53
NFLX,short,"Recent performance has shown weakness, and concerns over subscriber growth may lead to further downhill trends.",2025-04-18,2025-03-13,Michael,McCaul,Michael McCaul,Spouse,Netflix Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,22:59:10
NVDA,long,Strong net inflow and bullish sentiment on AI-related technologies.,2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,NVIDIA Corporation,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:07:01
UNH,long,"Solid inflow supported by a resilient healthcare sector, promising profitability.",2025-04-18,2025-03-13,Michael,McCaul,Michael McCaul,Spouse,Unitedhealth Group Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,23:07:01
GOOGL,short,Regulatory scrutiny and ad revenue pressures may impact profitability in the near term.,2025-03-05,2025-02-13,John,Boozman,John Boozman,Joint,Alphabet Cl A,Stock,Purchase,8000.5,https://efdsearch.senate.gov/search/view/ptr/6cf4a78e-92f0-4201-bf73-e9b02cd8f9ef/,senate,2025-04-23,23:08:07
GOOGL,short,Regulatory scrutiny and ad revenue pressures may impact profitability in the near term.,2025-04-18,2025-04-03,Dwight,Evans,Dwight Evans,,Alphabet Inc,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030179.pdf,house,2025-04-23,23:08:07
GOOGL,short,Regulatory scrutiny and ad revenue pressures may impact profitability in the near term.,2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,Alphabet Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:08:07
NFLX,long,Strategic moves in content and international markets could drive subscriber growth and revenue.,2025-04-17,2025-03-20,Bruce,Westerman,Bruce Westerman,,Netflix Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:09:16
NFLX,long,Strategic moves in content and international markets could drive subscriber growth and revenue.,2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,Netflix Inc,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:09:16
WWD,short,"Market conditions seem uncertain, and the company's reliance on specific sectors may expose it to risks.",2025-04-18,2025-03-14,Michael,McCaul,Michael McCaul,Spouse,Woodward Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-23,23:09:16
LLY,long,"Recent performance in the biopharmaceutical sector shows resilience, with continued investment interest.",2025-04-17,2025-03-03,Bruce,Westerman,Bruce Westerman,,Eli Lilly and Co,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:11:27
GOOGL,long,"Alphabet has strong fundamentals and continues to innovate, benefiting from positive market sentiment reflected in net flow.",2025-04-17,2025-03-20,Bruce,Westerman,Bruce Westerman,,Alphabet Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:19:19
AMZN,short,"High valuation levels and increasing competition may pose risks, warranting a short view.",2025-04-17,2025-03-20,Bruce,Westerman,Bruce Westerman,,Amazon.com Inc,Stock,Sale,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030146.pdf,house,2025-04-23,23:55:38
BITB,short,High volatility in the crypto space and negative sentiment could further weaken BITB's position.,2025-04-22,2025-03-27,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/c2d4f369-8305-4360-a7dc-b6ce3fd136eb/,senate,2025-04-24,00:33:10
BITB,short,High volatility in the crypto space and negative sentiment could further weaken BITB's position.,2025-04-22,2025-03-25,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,75000.5,https://efdsearch.senate.gov/search/view/ptr/c2d4f369-8305-4360-a7dc-b6ce3fd136eb/,senate,2025-04-24,00:33:10
BITB,short,High volatility in the crypto space and negative sentiment could further weaken BITB's position.,2025-04-22,2025-03-24,David H,McCormick,"McCormick, David H. (Senator)",Self,Bitwise Bitcoin ETF,Stock,Purchase,32500.5,https://efdsearch.senate.gov/search/view/ptr/c2d4f369-8305-4360-a7dc-b6ce3fd136eb/,senate,2025-04-24,00:33:10
MLM,short,Facing headwinds from rising raw material prices and potential slowdown in construction activity.,2025-04-18,2025-03-17,Michael,McCaul,Michael McCaul,Spouse,Martin Marietta Materials Inc,Stock,Purchase,32500.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/8220834.pdf,house,2025-04-24,01:26:18
NVT,short,"Limited growth prospects despite net inflow, suggesting overvaluation risks.",2025-04-21,2025-04-01,Thomas H.,Kean,Thomas H. Kean,,nVent Electric PLC,Stock,Purchase,8000.5,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2025/20030155.pdf,house,2025-04-24,01:44:06
